data_assinatura;inicio_vigencia;fim_vigencia;orgao_superior;orgao_entidade;unidade_gestora;forma_contratacao;grupo_objeto;numero_contrato;situacao;objeto;valor_contratado_rs
"19/02/2019";"19/02/2019";"19/08/2020";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DO RIO DE JANEIRO";"Inexigibilidade de Licitação";"Serviços";"107/2018";"Retificação - Publicado";"Contratação de empresa especializada, visando à capacitação profissional de 02 (dois) servidores militares no curso de LL.M em Direito: Infraestrutura e Regulaç";"64.400,00"
"14/02/2019";"25/04/2019";"01/07/2020";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"BANCO CENTRAL DO BRASIL";"Sem Informação";"Outros";"50113/2019";"Fechado";"MBA Executivo em Finanças: Controladoria, Auditoria e Compliance";"36.802,69"
"04/02/2019";"04/02/2019";"04/02/2020";"Ministério dos Transportes";"Agência Nacional de Transportes Terrestres";"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"Inexigibilidade de Licitação";"Outros";"2/2019";"Publicado";"Licenciamento de uso do banco de dados denominado FGVDADOS ADVANCED.";"15.084,01"
"26/12/2018";"26/12/2018";"26/12/2019";"Ministério de Minas e Energia";"Empresa de Pesquisa Energética";"EMPRESA DE PESQUISA ENERGETICA";"Sem Informação";"Outros";"44/2018";"Fechado";"Licenciamento de uso, sem caráter de exclusividade, do banco de dados FGVDADOS PREMIUM.";"59.369,63"
"01/11/2018";"01/11/2018";"01/07/2020";"Ministério da Defesa";"Comando da Aeronáutica";"GRUPAMENTO DE APOIO DO GALEAO";"Inexigibilidade de Licitação";"Serviços";"90/2018";"Publicado";"Contratação de serviço de Mestrado Profissional Acadêmico (MAP)- Turma Intensiva, 01 vaga.";"69.160,00"
"30/10/2018";"30/10/2018";"28/02/2022";"Ministério dos Transportes";"Agência Nacional de Transportes Terrestres";"AGENCIA NACIONAL DE TRANSPORTES TERRESTRES";"Dispensa de Licitação";"Serviços";"00029/2018";"Não se aplica";"CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS REFERENTES À MANUTENÇÃO DE COMPOSIÇÕES DE PREÇOS UNITÁRIOS DO SICFER - SISTEMA DE CÁLCULO DE CUSTOS REFERENCIAIS";"29.021.648,64"
"25/10/2018";"25/10/2018";"24/04/2020";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"BANCO CENTRAL DO BRASIL";"Sem Informação";"Outros";"51475/2018";"Fechado";"MBA em Direito Tributário";"19.000,00"
"04/10/2018";"04/10/2018";"03/09/2020";"Ministério da Defesa";"Comando do Exército";"GABINETE DO COMANDANTE DO EXERCITO";"Inexigibilidade de Licitação";"Serviços";"7/2018";"Publicado";"Prestação de serviço de capacitação de 01 (um) militar do CCOMSEX no Curso de MBA em Marketing, na modalidade presencial, com carga horária de 444 horas, na cid";"26.003,00"
"04/10/2018";"04/10/2018";"31/07/2021";"Ministério da Saúde";"Agência Nacional de Vigilância Sanitária";"AGENCIA NACIONAL DE VIGILANCIA SANITARIA";"Inexigibilidade de Licitação";"Outros";"00026/2018";"Não se aplica";"CURSO MBA PARA A SERVIDORA MÔNICA CRISTINA ANTUNES FIGUEIREDO DUARTE.";"0,01"
"19/09/2018";"21/09/2018";"21/09/2020";"Ministério da Defesa";"Comando do Exército";"BASE ADMINISTRATIVA DO QGEX";"Inexigibilidade de Licitação";"Outros";"00026/2018";"Não se aplica";"CONTRATACAO DE SERVICOS TECNICOS PROFISSIONAIS ESPECIALIZADOS EM TREINAMENTO E APERFEICOAMENTO DE PESSOA PARA ATENDER AO PLANO DE CAPACITACAO 2018";"31.899,24"
