data_assinatura;inicio_vigencia;fim_vigencia;orgao_superior;orgao_entidade;unidade_gestora;forma_contratacao;grupo_objeto;numero_contrato;situacao;objeto;valor_contratado_rs
"01/08/2013";"01/08/2013";"01/08/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"50182/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"13.500,00"
"01/08/2013";"01/08/2013";"01/08/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"50089/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"33.999,49"
"01/08/2013";"01/08/2013";"01/08/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"49521/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"5.600,00"
"26/07/2013";"20/08/2013";"20/08/2013";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"BANCO CENTRAL DO BRASIL";"Sem Informação";"Outros";"51471/2013";"Fechado";"Contratação de serviços educacionais para o evento ""GESTAO ESTRATEGICA DE PROJETOS""";"35.000,00"
"19/07/2013";"19/07/2013";"13/08/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"53576/2013";"Fechado";"PALESTRAS";"12.000,00"
"11/07/2013";"11/07/2013";"11/07/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"3515/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"13.500,00"
"11/07/2013";"11/07/2013";"11/07/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"4773/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"13.500,00"
"01/07/2013";"01/07/2013";"01/07/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"99434/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"13.500,00"
"01/07/2013";"01/07/2013";"01/07/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"99881/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"13.500,00"
"01/07/2013";"01/07/2013";"01/07/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"9273/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"13.500,00"
"01/07/2013";"01/07/2013";"01/07/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"99880/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"5.600,00"
"12/06/2013";"12/06/2013";"12/06/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"59979/2013";"Fechado";"PALESTRAS";"15.973,00"
"10/06/2013";"10/06/2013";"31/12/2013";"Ministério de Minas e Energia";"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"ESCRITORIO CENTRAL DA ANP";"Inexigibilidade de Licitação";"Outros";"5034/2013";"Publicado";"Prestação de serviços da 1¿ fase de treinamento denominado ""Escola de Líderes"", com o programa de Alta Performance em Liderança para servido";"133.500,00"
"03/06/2013";"03/06/2013";"03/06/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"49623/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"40.500,00"
"03/06/2013";"03/06/2013";"03/06/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"40459/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"13.500,00"
"29/05/2013";"01/07/2013";"05/07/2013";"Ministério da Previdência Social";"Instituto Nacional do Seguro Social";"COORDENACAO DE EXEC.ORCAMENTARIA E FINANCEIRA";"Inexigibilidade de Licitação";"Outros";"19/2013";"Publicado";"Contratação de empresa especializadaque promoverá curso Fronteiras em Gestão Públi-ca Criação de Valor,Tendências e Perspectivas ,na cida";"183.000,00"
"02/05/2013";"02/05/2013";"02/05/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"89507/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"59.617,61"
"02/05/2013";"02/05/2013";"02/05/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"87966/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"13.500,00"
"29/04/2013";"29/04/2013";"29/04/2014";"Ministério da Integração e do Desenvolvimento Regional";"Agência Nacional de Águas e Saneamento Básico";"AGENCIA NACIONAL DE AGUAS E SANEAMENTO BASICO";"Sem Informação";"Outros";"13/2013";"Fechado";"Prestação de serviços educacionais para capacitação dos servidores da CONTRATANTE no ""Programa Fronteiras em Gestão Pública: Criação de Valo";"378.000,00"
"01/04/2013";"01/04/2013";"01/04/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"48774/2013";"Fechado";"TREINAMENTO DE EMPREGADOS - MATRÍCULA";"66.335,39"
"01/04/2013";"01/04/2013";"01/04/2013";"Ministério de Minas e Energia";"Petrobrás - Holding";"PETROLEO BRASILEIRO S/A";"Sem Informação";"Outros";"23848/2013";"Fechado";"INSCRIÇÕES EM TREINAMENTOS EXTERNOS";"68.387,00"
"26/07/2010";"26/07/2010";"26/07/2011";"Ministério da Fazenda";"Empresa Gestora de Ativos";"EMPRESA GESTORA DE ATIVOS ± EMGEA";"Inexigibilidade de Licitação";"Outros";"12/2010";"Publicado";"Contratação de empresa para desenvolvimento do Programa ""Parceiros para a Excelência-PAEX"".";"422.261,04"
