Soja - Valor da produção (2024),,
localidade,valor,unidade
Ipecaetá - BA,-,Mil Reais
Ipiaú - BA,-,Mil Reais
Ipirá - BA,-,Mil Reais
Ipupiara - BA,-,Mil Reais
Irajuba - BA,-,Mil Reais
Iramaia - BA,-,Mil Reais
Iraquara - BA,-,Mil Reais
Irará - BA,-,Mil Reais
Irecê - BA,-,Mil Reais
Itabela - BA,-,Mil Reais
Itaberaba - BA,-,Mil Reais
Itabuna - BA,-,Mil Reais
Itacaré - BA,-,Mil Reais
Itaeté - BA,-,Mil Reais
Itagi - BA,-,Mil Reais
Itagibá - BA,-,Mil Reais
Itagimirim - BA,-,Mil Reais
Itaguaçu da Bahia - BA,-,Mil Reais
Itaju do Colônia - BA,...,Mil Reais
Itajuípe - BA,-,Mil Reais
Itamaraju - BA,-,Mil Reais
Itamari - BA,-,Mil Reais
Itambé - BA,-,Mil Reais
Itanagra - BA,-,Mil Reais
Itanhém - BA,-,Mil Reais
Itaparica - BA,-,Mil Reais
Itapé - BA,-,Mil Reais
Itapebi - BA,-,Mil Reais
Itapetinga - BA,-,Mil Reais
Itapicuru - BA,355,Mil Reais
Itapitanga - BA,-,Mil Reais
Itaquara - BA,-,Mil Reais
Itarantim - BA,-,Mil Reais
Itatim - BA,134,Mil Reais
Itiruçu - BA,-,Mil Reais
Itiúba - BA,-,Mil Reais
Itororó - BA,-,Mil Reais
Ituaçu - BA,-,Mil Reais
Ituberá - BA,-,Mil Reais
Iuiú - BA,-,Mil Reais
Jaborandi - BA,653.292,Mil Reais
Jacaraci - BA,-,Mil Reais
Jacobina - BA,-,Mil Reais
Jaguaquara - BA,-,Mil Reais
Jaguarari - BA,-,Mil Reais
Jaguaripe - BA,-,Mil Reais
Jandaíra - BA,-,Mil Reais
Jequié - BA,-,Mil Reais
Jeremoabo - BA,-,Mil Reais
Jiquiriçá - BA,-,Mil Reais
Jitaúna - BA,-,Mil Reais
João Dourado - BA,-,Mil Reais
Juazeiro - BA,-,Mil Reais
Jucuruçu - BA,-,Mil Reais
Jussara - BA,-,Mil Reais
Jussari - BA,-,Mil Reais
Jussiape - BA,-,Mil Reais
Lafaiete Coutinho - BA,-,Mil Reais
Lagoa Real - BA,-,Mil Reais
Laje - BA,-,Mil Reais
Lajedão - BA,-,Mil Reais
Lajedinho - BA,-,Mil Reais
Lajedo do Tabocal - BA,-,Mil Reais
Lamarão - BA,-,Mil Reais
Lapão - BA,-,Mil Reais
Lauro de Freitas - BA,-,Mil Reais
Lençóis - BA,-,Mil Reais
Licínio de Almeida - BA,-,Mil Reais
Livramento de Nossa Senhora - BA,-,Mil Reais
Luís Eduardo Magalhães - BA,1.791.805,Mil Reais
Macajuba - BA,-,Mil Reais
Macarani - BA,-,Mil Reais
Macaúbas - BA,-,Mil Reais
Macururé - BA,-,Mil Reais
Madre de Deus - BA,...,Mil Reais
Maetinga - BA,-,Mil Reais
Maiquinique - BA,-,Mil Reais
Mairi - BA,-,Mil Reais
Malhada - BA,3.642,Mil Reais
Malhada de Pedras - BA,-,Mil Reais
Manoel Vitorino - BA,-,Mil Reais
Mansidão - BA,-,Mil Reais
Maracás - BA,-,Mil Reais
Maragogipe - BA,-,Mil Reais
Maraú - BA,-,Mil Reais
Marcionílio Souza - BA,-,Mil Reais
Mascote - BA,-,Mil Reais
Mata de São João - BA,-,Mil Reais
Matina - BA,-,Mil Reais
Medeiros Neto - BA,-,Mil Reais
Miguel Calmon - BA,-,Mil Reais
Milagres - BA,-,Mil Reais
Mirangaba - BA,-,Mil Reais
Mirante - BA,-,Mil Reais
Monte Santo - BA,-,Mil Reais
Morpará - BA,-,Mil Reais
Morro do Chapéu - BA,-,Mil Reais
Mortugaba - BA,-,Mil Reais
Mucugê - BA,6.916,Mil Reais
Mucuri - BA,-,Mil Reais
Mulungu do Morro - BA,-,Mil Reais
Mundo Novo - BA,-,Mil Reais
Muniz Ferreira - BA,-,Mil Reais
Muquém de São Francisco - BA,378,Mil Reais
Muritiba - BA,-,Mil Reais
Mutuípe - BA,-,Mil Reais
Nazaré - BA,-,Mil Reais
Nilo Peçanha - BA,-,Mil Reais
Nordestina - BA,-,Mil Reais
Nova Canaã - BA,-,Mil Reais
Nova Fátima - BA,-,Mil Reais
Nova Ibiá - BA,-,Mil Reais
Nova Itarana - BA,-,Mil Reais
Nova Redenção - BA,-,Mil Reais
Nova Soure - BA,-,Mil Reais
Nova Viçosa - BA,-,Mil Reais
Novo Horizonte - BA,-,Mil Reais
Novo Triunfo - BA,-,Mil Reais
Olindina - BA,-,Mil Reais
Oliveira dos Brejinhos - BA,-,Mil Reais
Ouriçangas - BA,-,Mil Reais
Ourolândia - BA,-,Mil Reais
Palmas de Monte Alto - BA,-,Mil Reais
Palmeiras - BA,-,Mil Reais
Paramirim - BA,-,Mil Reais
Paratinga - BA,-,Mil Reais
Paripiranga - BA,-,Mil Reais
Pau Brasil - BA,-,Mil Reais
Paulo Afonso - BA,-,Mil Reais
Pé de Serra - BA,-,Mil Reais
Pedrão - BA,-,Mil Reais
Pedro Alexandre - BA,-,Mil Reais
Piatã - BA,-,Mil Reais
Pilão Arcado - BA,-,Mil Reais
Pindaí - BA,-,Mil Reais
Pindobaçu - BA,-,Mil Reais
Pintadas - BA,-,Mil Reais
Piraí do Norte - BA,-,Mil Reais
Piripá - BA,-,Mil Reais
