OBJECTID_1;Nome da Base;Município;UF;Razão Social;Latitude;Longitude;Capacidade (t);x;y
310;LIQUIGÁS - BASE - DUQUE DE CAXIAS/RJ;DUQUE DE CAXIAS;RJ;LIQUIGÁS DISTRIBUIDORA S.A.;-22.71272949;-43.2723678;614.73;-43.272367799999984;-22.71272948999996
311;COMPANHIA ULTRAGAZ S.A.;PONTA GROSSA;PR;COMPANHIA ULTRAGAZ S A;-25.06108;-50.17825833;115;-50.17825832999995;-25.061079999999947
312;COPAGAZ - BASE - NOVA CAMPO GRANDE/MS;CAMPO GRANDE;MS;COPAGAZ DISTRIBUIDORA DE GÁS S/A.;-20.45374498;-54.69552701;706.1;-54.69552700999998;-20.453744979999954
313;ULTRAGAZ - BASE - BETIM/MG;BETIM;MG;COMPANHIA ULTRAGAZ S A;-19.95368167;-44.10120167;193.4;-44.101201669999966;-19.95368166999998
314;NACIONAL GÁS BUTANO - BRASILIA/DF;BRASILIA;DF;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-15.80059;-47.97997167;179;-47.97997166999994;-15.800589999999943
315;NACIONAL GÁS BUTANO - BASE - CRATO/CE;CRATO;CE;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-7.22431789;-39.37280898;156;-39.372808979999945;-7.224317889999952
316;LIQUIGAS - BASE - SANTOS/SP;SANTOS;SP;LIQUIGÁS DISTRIBUIDORA S.A.;-23.925325;-46.36954167;649.34;-46.36954166999993;-23.92532499999993
317;LIQUIGÁS - BASE - SÃO JOSÉ DO RIO PETRO/SP;SAO JOSE DO RIO PRETO;SP;LIQUIGÁS DISTRIBUIDORA S.A.;-20.847428;-49.345983;58.22;-49.34598299999993;-20.84742799999998
318;GASBALL - BASE - SÃO JOSE DOS CAMPOS/SP;SAO JOSE DOS CAMPOS;SP;GASBALL ARMAZENADORA E DISTRIBUIDORA LTDA.;-23.18357833;-45.810875;668.7;-45.81087499999995;-23.183578329999932
319;COPAGAZ - BASE - SÃO PAULO/SP;SAO PAULO;SP;COPAGAZ DISTRIBUIDORA DE GÁS S/A.;-23.68471306;-46.70630166;292.93;-46.70630165999995;-23.68471305999998
320;NACIONAL GÁS BUTANO - BASE - RIBEIRÃO PRETO/SP;RIBEIRAO PRETO;SP;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-21.14602833;-47.878765;177;-47.87876499999993;-21.14602832999998
321;ULTRAGAZ - BASE - MAUÁ/SP I;MAUA;SP;COMPANHIA ULTRAGAZ S A;-23.65557714;-46.47757856;720;-46.477578559999984;-23.655577139999934
322;LIQUIGÁS - BASE - SÃO JOSÉ/SC;SAO JOSE;SC;LIQUIGÁS DISTRIBUIDORA S.A.;-27.61965664;-48.64943771;57.44;-48.64943770999997;-27.61965663999996
323;COMPANHIA ULTRAGAZ - BAURU;BAURU;SP;COMPANHIA ULTRAGAZ S A;-22.29508167;-49.107035;116.6;-49.10703499999994;-22.295081669999945
324;NACIONAL GÁS BUTANO - BASE - BAURU/SP;BAURU;SP;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-22.31244167;-48.97978667;118;-48.97978666999995;-22.31244166999994
325;FOGÁS - BASE - BOA VISTA/RR;BOA VISTA;RR;SOCIEDADE FOGAS LTDA;2.756698;-60.728904;540;-60.72890399999994;2.7566980000000285
326;NACIONAL GAS BUTANO - BASE -  ITAJAI/SC;ITAJAI;SC;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-26.95136921;-48.71002167;163;-48.710021669999946;-26.95136920999994
327;LIQUIGAS - BASE - ITAJAÍ/SC;ITAJAI;SC;LIQUIGÁS DISTRIBUIDORA S.A.;-26.88233106;-48.69315831;236.86;-48.693158309999944;-26.882331059999956
328;ULTRAGAZ - BASE - JOINVILLE/SC;JOINVILLE;SC;COMPANHIA ULTRAGAZ S A;-26.28313592;-48.8876215;30;-48.887621499999966;-26.28313591999995
329;LIQUIGÁS - BASE - JOINVILLE/SC;JOINVILLE;SC;LIQUIGÁS DISTRIBUIDORA S.A.;-26.36995973;-48.83281742;56.89;-48.83281741999997;-26.369959729999948
330;LIQUIGAS - BASE - CANOAS/RS II;CANOAS;RS;LIQUIGÁS DISTRIBUIDORA S.A.;-29.87030912;-51.20166276;224.4;-51.20166275999998;-29.870309119999945
331;SUPERGASBRAS - BASE - CANOAS/RS II;CANOAS;RS;SUPERGASBRAS ENERGIA LTDA;-29.96765376;-51.2016641;643.32;-51.20166409999996;-29.967653759999962
332;LIQUIGAS CANOAS;CANOAS;RS;LIQUIGÁS DISTRIBUIDORA S.A.;-29.96668667;-51.20217833;1719.38;-51.20217832999998;-29.966686669999945
333;SUPERGASBRAS - BASE - BIGUAÇU/SC;BIGUACU;SC;SUPERGASBRAS ENERGIA LTDA;-27.50485;-48.65088333;51.45;-48.65088332999994;-27.504849999999976
334;GLP GAS - BASE - DUQUE DE CAXIAS/RJ;DUQUE DE CAXIAS;RJ;GLP GAS DISTRIBUIDORA DE GAS LTDA.;-22.76700717;-43.28178618;57;-43.28178617999998;-22.767007169999943
335;ULTRAGAZ - BASE - ARAÇATUBA/SP;ARACATUBA;SP;COMPANHIA ULTRAGAZ S A;-21.18766333;-50.46724167;174.4;-50.467241669999964;-21.187663329999964
336;LIQUIGÁS - BASE - MACAÉ/RJ;MACAE;RJ;LIQUIGÁS DISTRIBUIDORA S.A.;-22.29341435;-41.7121964;355.01;-41.71219639999998;-22.293414349999978
337;SOS BASE DE JOÃO PESSOA;JOAO PESSOA;PB;SOS GÁS DISTRIBUIDORA LTDA;-7.18691833;-34.92139333;79;-34.921393329999944;-7.186918329999969
