OBJECTID_1;Nome da Base;Município;UF;Razão Social;Latitude;Longitude;Capaciade (m3);x;y
529;RUFF CJ DISTRIBUIDORA DE PETRÓLEO LTDA;PAULINIA;SP;RUFF CJ DISTRIBUIDORA DE PETRÓLEO LTDA;-22.71164667;-47.14198833;12900;-47.14198832999995;-22.711646669999936
530;RAÍZEN - BASE BARUERI - SP;BARUERI;SP;RAIZEN COMBUSTÍVEIS S.A.;-23.50637839;-46.82962991;28813.63;-46.82962990999994;-23.506378389999952
531;PÉTROSOJA - BASE - GURUPI/TO;GURUPI;TO;PETROSOJA DISTRIBUIDORA DE DERIVADOS DE PETRÓLEO LTDA;-11.64920437;-49.05713428;1078.3;-49.05713427999996;-11.64920436999995
532;VIBRA ENERGIA - BASE - PORTO NACIONAL/TO;PORTO NACIONAL;TO;VIBRA ENERGIA S.A.;-10.21154696;-48.55172767;29563;-48.551727669999934;-10.211546959999964
533;SABBÁ - BASE - MANAUS/AM;MANAUS;AM;PETRÓLEO SABBÁ S.A.;-3.14655333;-59.95129;26131;-59.95128999999997;-3.1465533299999606
534;VIBRA ENERGIA S.A.;MANAUS;AM;VIBRA ENERGIA S.A.;-3.14710167;-59.958085;53283;-59.95808499999998;-3.147101669999927
535;DISTRIBUIDORA EQUATORIAL DE PRODUTOS DE PETRÓLEO LTDA;MANAUS;AM;DISTRIBUIDORA EQUADOR DE PRODUTOS DE PETRÓLEO LTDA.;-3.14459833;-59.95989;7462;-59.95988999999997;-3.144598329999951
536;RAÍZEN - BASE - BAURU/SP;BAURU;SP;RAIZEN COMBUSTÍVEIS S.A.;-22.31598378;-49.04561715;11705.2;-49.04561714999994;-22.315983779999954
537;IPIRANGA PRODUTOS DE PETRÓLEO SA (EX-DIST. EQUADOR DE PROD DE PETRÓLEO LTDA);PORTO VELHO;RO;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-8.70971833;-63.91904333;9107;-63.919043329999965;-8.70971832999993
538;VIBRA ENERGIA S.A.;CARACARAI;RR;VIBRA ENERGIA S.A.;1.810715;-61.129216;7282.18;-61.129215999999985;1.810715000000073
539;IPIRANGA - CONDOMÍNIO - ITAJAÍ/SC;ITAJAI;SC;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-26.9502;-48.71032667;17646.43;-48.71032666999997;-26.95019999999994
540;MANGUINHOS - BASE - DUQUE DE CAXIAS/RJ;DUQUE DE CAXIAS;RJ;MANGUINHOS DISTRIBUIDORA S. A.;-22.708225;-43.27787667;4228.48;-43.277876669999955;-22.70822499999997
541;FERA - BASE - ARUJÁ/SP;ARUJA;SP;FERA LUBRIFICANTES LTDA.;-23.40613627;-46.35688868;5536.81;-46.35688867999994;-23.406136269999934
542;IPIRANGA - BASE - PASSO FUNDO/RS;PASSO FUNDO;RS;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-28.23870333;-52.39741833;23316.15;-52.39741832999994;-28.238703329999964
543;VIBRA ENERGIA - BASE - VITÓRIA DO XINGU/PA;VITORIA DO XINGU;PA;VIBRA ENERGIA S.A.;0;0;4683;NaN;NaN
544;ATEM'S - BASE - ITAITUBA/PA;ITAITUBA;PA;ATEM' S DISTRIBUIDORA DE PETRÓLEO S.A.;-4.266072;-55.932395;12441.32;-55.932394999999985;-4.2660719999999515
545;ARAPETRO - BASE DE COMBUSTIVEIS - SINOP/MT;SINOP;MT;ARAPETRO DISTRIBUIDORA DE PETRÓLEO LTDA.;-11.78915;-55.47407333;1000.3;-55.47407332999995;-11.78914999999995
546;IMPERIAL - BASE - VÁRZEA GRANDE/MT;VARZEA GRANDE;MT;IMPERIAL DISTRIBUIDORA DE PETRÓLEO LTDA.;-15.68381667;-56.17412333;3007.83;-56.174123329999986;-15.683816669999942
547;UNI COMBUSTÍVEIS LTDA;PINHAIS;PR;UNI COMBUSTÍVEIS LTDA;-25.39336333;-49.18406333;969;-49.18406332999996;-25.393363329999943
548;VIBRA ENERGIA - BASE - CABEDELO/PB;CABEDELO;PB;VIBRA ENERGIA S.A.;-6.96691;-34.838235;12071.44;-34.83823499999994;-6.9669099999999275
549;VIBRA ENERGIA S.A.;ORIXIMINA;PA;VIBRA ENERGIA S.A.;-1.46266333;-56.38437;5261.06;-56.38436999999993;-1.4626633299999412
550;PELIKANO - ARAUCARIA;ARAUCARIA;PR;PELIKANO DISTRIBUIDORA DE PETRÓLEO LTDA;-25.55386;-49.36997333;1723.05;-49.36997332999994;-25.55385999999993
551;BASE CONDOMÍNIO  PONTUAL - ARAUCÁRIA;ARAUCARIA;PR;PONTUAL BRASIL PETRÓLEO LTDA;-25.55291249;-49.36898175;27002.8;-49.36898174999993;-25.552912489999983
552;DEVA - BASE - JAÍBA/MG;JAIBA;MG;DEVA DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;-15.19898667;-43.88813333;1000;-43.88813332999996;-15.198986669999954
553;TDC - BASE COMPART. - BRASÍLIA/DF;BRASILIA;DF;TDC DISTRIBUIDORA DE COMBUSTÍVEIS S/A.;-15.797135;-47.97427;6329.87;-47.97426999999993;-15.797134999999969
554;CONDOMÍNIO COMERCIAL BRASIL GOIÁS;SENADOR CANEDO;GO;ARAGUAIA DISTRIBUIDORA DE COMBUSTÍVEIS S.A;-16.71296;-49.10760833;2864;-49.10760832999995;-16.712959999999953
555;VIBRA ENERGIA S.A.;NIQUELANDIA;GO;VIBRA ENERGIA S.A.;-14.3471939;-48.44068022;5000;-48.44068021999993;-14.34719389999998
556;TRANSO - BASE COMPARTILHADA - PAULÍNIA/SP;PAULINIA;SP;TRANSO COMBUSTÍVEIS LTDA;-22.72118833;-47.14575167;19710;-47.14575166999998;-22.72118832999996
557;MONTE CABRAL - PAULÍNIA - CNPJ NOVO;PAULINIA;SP;MONTE CABRAL DISTRIBUIDORA DE COMBUSTÍVEIS LTDA.;-22.73319833;-47.16324167;1626.72;-47.163241669999934;-22.733198329999937
558;TORRÃO - PAULÍNIA - SP;PAULINIA;SP;DISTRIBUIDORA DE COMBUSTÍVEL TORRÃO LTDA.;-22.72702833;-47.14690167;7354.65;-47.14690166999998;-22.72702832999994
559;RM - BASE - PAULÍNIA/SP;PAULINIA;SP;RM PETRÓLEO LTDA;-22.73593;-47.14837333;50899;-47.14837332999997;-22.73592999999994
560;IPIRANGA - BASE - BARUERI/SP;BARUERI;SP;IPIRANGA PRODUTOS DE PETRÓLEO S.A;-23.50565097;-46.83062829;24199.27;-46.830628289999936;-23.505650969999976
