Soja - Valor da produção (2024),,
localidade,valor,unidade
Parnaíba - PI,-,Mil Reais
Passagem Franca do Piauí - PI,7.307,Mil Reais
Patos do Piauí - PI,-,Mil Reais
Pau d`Arco do Piauí - PI,-,Mil Reais
Paulistana - PI,-,Mil Reais
Pavussu - PI,-,Mil Reais
Pedro II - PI,-,Mil Reais
Pedro Laurentino - PI,-,Mil Reais
Nova Santa Rita - PI,-,Mil Reais
Picos - PI,-,Mil Reais
Pimenteiras - PI,-,Mil Reais
Pio IX - PI,-,Mil Reais
Piracuruca - PI,13.165,Mil Reais
Piripiri - PI,-,Mil Reais
Porto - PI,-,Mil Reais
Porto Alegre do Piauí - PI,5.460,Mil Reais
Prata do Piauí - PI,-,Mil Reais
Queimada Nova - PI,-,Mil Reais
Redenção do Gurguéia - PI,5.831,Mil Reais
Regeneração - PI,113.058,Mil Reais
Riacho Frio - PI,-,Mil Reais
Ribeira do Piauí - PI,-,Mil Reais
Ribeiro Gonçalves - PI,640.180,Mil Reais
Rio Grande do Piauí - PI,-,Mil Reais
Santa Cruz do Piauí - PI,-,Mil Reais
Santa Cruz dos Milagres - PI,-,Mil Reais
Santa Filomena - PI,580.154,Mil Reais
Santa Luz - PI,-,Mil Reais
Santana do Piauí - PI,-,Mil Reais
Santa Rosa do Piauí - PI,-,Mil Reais
Santo Antônio de Lisboa - PI,-,Mil Reais
Santo Antônio dos Milagres - PI,-,Mil Reais
Santo Inácio do Piauí - PI,-,Mil Reais
São Braz do Piauí - PI,-,Mil Reais
São Félix do Piauí - PI,-,Mil Reais
São Francisco de Assis do Piauí - PI,-,Mil Reais
São Francisco do Piauí - PI,-,Mil Reais
São Gonçalo do Gurguéia - PI,3.057,Mil Reais
São Gonçalo do Piauí - PI,28.250,Mil Reais
São João da Canabrava - PI,-,Mil Reais
São João da Fronteira - PI,-,Mil Reais
São João da Serra - PI,-,Mil Reais
São João da Varjota - PI,-,Mil Reais
São João do Arraial - PI,-,Mil Reais
São João do Piauí - PI,-,Mil Reais
São José do Divino - PI,-,Mil Reais
São José do Peixe - PI,-,Mil Reais
São José do Piauí - PI,-,Mil Reais
São Julião - PI,-,Mil Reais
São Lourenço do Piauí - PI,-,Mil Reais
São Luis do Piauí - PI,-,Mil Reais
São Miguel da Baixa Grande - PI,-,Mil Reais
São Miguel do Fidalgo - PI,-,Mil Reais
São Miguel do Tapuio - PI,-,Mil Reais
São Pedro do Piauí - PI,1.299,Mil Reais
São Raimundo Nonato - PI,-,Mil Reais
Sebastião Barros - PI,8.954,Mil Reais
Sebastião Leal - PI,342.713,Mil Reais
Sigefredo Pacheco - PI,-,Mil Reais
Simões - PI,-,Mil Reais
Simplício Mendes - PI,-,Mil Reais
Socorro do Piauí - PI,-,Mil Reais
Sussuapara - PI,-,Mil Reais
Tamboril do Piauí - PI,-,Mil Reais
Tanque do Piauí - PI,9.868,Mil Reais
Teresina - PI,-,Mil Reais
União - PI,-,Mil Reais
Uruçuí - PI,1.555.581,Mil Reais
Valença do Piauí - PI,-,Mil Reais
Várzea Branca - PI,-,Mil Reais
Várzea Grande - PI,-,Mil Reais
Vera Mendes - PI,-,Mil Reais
Vila Nova do Piauí - PI,-,Mil Reais
Wall Ferraz - PI,-,Mil Reais
Aroeiras do Itaim - PI,-,Mil Reais
Nazária - PI,-,Mil Reais
Fonte: PAM
,,
