Nome;Estado;Município;Transportadora;Categoria;Fonte;Segmento;FID;x;y
Pedras de Fogo;PB;Pedras de Fogo;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;995;;
Pindamonhangaba II;SP;Pindamonhangaba;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;997;;
Piraí;RJ;Piraí;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;998;;
RECAP II;SP;Mauá;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;999;;
REDUC;RJ;Duque de Caxias;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Downstream;1001;;
REGAP I;MG;Betim;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Downstream;1002;;
REGAP II;MG;Betim;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Downstream;1003;;
REMAN;AM;Manaus;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Downstream;1004;;
Resende II;RJ;Resende;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;1005;;
REVAP II;SP;São José dos Campos;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Downstream;1006;;
Rio das Flores;RJ;Rio das Flores;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;1007;;
"RLAM 6"" e 14''";BA;São Francisco do Conde;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Downstream;1009;;
RPBC;SP;Cubatão;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Downstream;1011;;
Santa Rita CG;PB;Santa Rita;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1012;;
Santa Rita JP;PB;Santa Rita;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1013;;
São Bernardo do Campo;SP;São Bernardo do Campo;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;1014;;
São Bernardo do Campo II;SP;São Bernardo do Campo;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;1015;;
São Brás Do Suaçuí II;MG;São Brás do Suaçuí;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;1016;;
São José dos Campos;SP;São José dos Campos;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;1017;;
São Mateus;ES;São Mateus;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1018;;
Suzano;SP;Suzano;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;1024;;
Taubaté;SP;Taubaté;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Industrial, Comercial e outros;1025;;
TECAB;RJ;Macaé;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Downstream;1026;;
UTE Aparecida - GN/OC;AM;Aparecida;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Termeletrico;1027;;
UTE Baixada Fluminense - GN;RJ;Japeri;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Termeletrico;1028;;
UTE Euzébio Rocha (Cubatão/CCBS) - GN;SP;Cubatão;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Termeletrico;1029;;
UTE Aureliano Chaves (Ibirité) - GN;MG;Betim;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Termeletrico;1030;;
UTE LORM (Linhares) - GN;ES;Linhares;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Termeletrico;1032;;
UTE Mauá III - GN/OC;AM;Mauá;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Termeletrico;1034;;
UTE Vale do Açu (Termoaçu/Jesus Soares) - GN;RN;Alto do Rodrigues / Serra do Mel;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Termeletrico;1036;;
UTE Termobahia (Celso Furtado) - GN;BA;Candeias;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Termeletrico;1037;;
UTE Fortaleza;CE;Caucaia;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Termeletrico;1038;;
UTE Termorio I (Leonel Brizola) - GN;RJ;Duque de Caxias;NTS;Existente;Informações Técnicas NTS abril 2023 (https://www.ntsbrasil.com/pt/sistemas/);Termeletrico;1040;;
Vale;ES;Vitória;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1042;;
Veracel;BA;Eunápolis;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1043;;
Viana;ES;Viana;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1044;;
Vitória;ES;Vitória;TAG;Existente;Informações Técnicas TAG abril 2023 (https://ntag.com.br/transparencia/);Industrial, Comercial e outros;1045;;
Americana;SP;Americana;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1047;;
Araçoiaba da Serra;SP;Araçoiaba da Serra;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1048;;
Araricá;RS;Araricá;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1049;;
Araucária CIC;PR;Araucária;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1050;;
Bilac;SP;Bilac;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1051;;
Blumenau Gaspar;SC;Gaspar;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1052;;
Boa Esperança do Sul;SP;Boa Esperança do Sul;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp)  ;Industrial, Comercial e outros;1053;;
Brusque;SC;Brusque;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1054;;
Cachoeirinha;RS;Cachoeirinha;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1055;;
Campinas;SP;Campinas;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1056;;
Campo Grande;MS;Campo Grande;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1057;;
Campo Largo;PR;Campo Largo;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1058;;
Canoas;RS;Canoas;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1059;;
Gemini;SP;Paulínia;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1061;;
Guaiçara;SP;Guaiçara;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1062;;
Guaramirim;SC;Guaramirim;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1063;;
Guararema;SP;Guararema;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1064;;
Iacanga;SP;Iacanga;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1065;;
Ibitinga;SP;Ibitinga;TBG;Existente;Informações Técnicas TBG abril 2023 (https://www.tbg.com.br/informacoes-a-anp) ;Industrial, Comercial e outros;1066;;
