planta;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07;2026-08;2026-09;2026-10;2026-11;2026-12;2027-01;2027-02;2027-03;2027-04;2027-05;2027-06;2027-07;2027-08;2027-09;2027-10;2027-11;2027-12;2028-01;2028-02;2028-03;2028-04;2028-05;2028-06;2028-07;2028-08;2028-09;2028-10;2028-11;2028-12;2029-01;2029-02;2029-03;2029-04;2029-05;2029-06;2029-07;2029-08;2029-09;2029-10;2029-11;2029-12;2030-01;2030-02;2030-03;2030-04;2030-05;2030-06;2030-07;2030-08;2030-09;2030-10;2030-11;2030-12;2031-01;2031-02;2031-03;2031-04;2031-05;2031-06;2031-07;2031-08;2031-09;2031-10;2031-11;2031-12;2032-01;2032-02;2032-03;2032-04;2032-05;2032-06;2032-07;2032-08;2032-09;2032-10;2032-11;2032-12;2033-01;2033-02;2033-03;2033-04;2033-05;2033-06;2033-07;2033-08;2033-09;2033-10;2033-11;2033-12;2034-01;2034-02;2034-03;2034-04;2034-05;2034-06;2034-07;2034-08;2034-09;2034-10;2034-11;2034-12;2035-01;2035-02;2035-03;2035-04;2035-05;2035-06;2035-07;2035-08;2035-09;2035-10;2035-11;2035-12;2036-01;2036-02;2036-03;2036-04;2036-05;2036-06;2036-07;2036-08;2036-09;2036-10;2036-11;2036-12;2037-01;2037-02;2037-03;2037-04;2037-05;2037-06;2037-07;2037-08;2037-09;2037-10;2037-11;2037-12;2038-01;2038-02;2038-03;2038-04;2038-05;2038-06;2038-07;2038-08;2038-09;2038-10;2038-11;2038-12
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.042467;1.042467;1.042467;1.042467;1.042467;1.042467;1.042467;1.042467;1.042467;1.042467;1.042467;1.042467;1.081344;1.081344;1.081344;1.081344;1.081344;1.081344;1.081344;1.081344;1.081344;1.081344;1.081344;1.081344;1.121129;1.121129;1.121129;1.121129;1.121129;1.121129;1.121129;1.121129;1.121129;1.121129;1.121129;1.121129;1.16257;1.16257;1.16257;1.16257;1.16257;1.16257;1.16257;1.16257;1.16257;1.16257;1.16257;1.16257;1.202814;1.202814;1.202814;1.202814;1.202814;1.202814;1.202814;1.202814;1.202814;1.202814;1.202814;1.202814;1.244534;1.244534;1.244534;1.244534;1.244534;1.244534;1.244534;1.244534;1.244534;1.244534;1.244534;1.244534;1.286695;1.286695;1.286695;1.286695;1.286695;1.286695;1.286695;1.286695;1.286695;1.286695;1.286695;1.286695;1.329907;1.329907;1.329907;1.329907;1.329907;1.329907;1.329907;1.329907;1.329907;1.329907;1.329907;1.329907;1.374682;1.374682;1.374682;1.374682;1.374682;1.374682;1.374682;1.374682;1.374682;1.374682;1.374682;1.374682;1.422649;1.422649;1.422649;1.422649;1.422649;1.422649;1.422649;1.422649;1.422649;1.422649;1.422649;1.422649;1.472442;1.472442;1.472442;1.472442;1.472442;1.472442;1.472442;1.472442;1.472442;1.472442;1.472442;1.472442;1.523977;1.523977
2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.112876;1.112876;1.112876;1.003493;1.003493;1.003493;1.018078;1.018078;1.018078;0.963957;0.963957;0.963957;0.939202;0.939202;0.939202;0.890713;0.890713;0.890713;0.846;0.846;0.846;0.816357;0.816357;0.816357;0.822287;0.822287;0.822287;0.828781;0.828781;0.828781;0.835324;0.835324;0.835324;0.841915;0.841915;0.841915;0.848556;0.848556;0.848556;0.855782;0.855782;0.855782;0.862524;0.862524;0.862524;0.869317;0.869317;0.869317;0.87616;0.87616;0.87616;0.883054;0.883054;0.883054;0.889999;0.889999;0.889999;0.896995;0.896995;0.896995;0.904044;0.904044;0.904044;0.911144;0.911144;0.911144;0.918298;0.918298;0.918298;0.925504;0.925504;0.925504;0.932764;0.932764;0.932764;0.940653;0.940653;0.940653;0.948024;0.948024;0.948024;0.95545;0.95545;0.95545;0.96293;0.96293;0.96293;0.970466;0.970466;0.970466;0.978058;0.978058;0.978058;0.985705;0.985705;0.985705;0.993409;0.993409;0.993409;1.001171;1.001171;1.001171;1.008989;1.008989;1.008989;1.016865;1.016865;1.016865;1.024799;1.024799;1.024799;1.032792;1.032792;1.032792;1.040844;1.040844;1.040844;1.04454;1.04454;1.04454;1.045104;1.045104;1.045104;1.045668;1.045668;1.045668;1.046233;1.046233;1.046233;1.046798;1.046798;1.046798;1.047363;1.047363;1.047363;1.047929;1.047929;1.047929;1.048495;1.048495;1.048495;1.049061;1.049061;1.049061;1.049628;1.049628;1.049628;1.050195;1.050195
3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.236529;1.236529;1.236529;1.056308;1.056308;1.056308;1.018078;1.018078;1.018078;0.963957;0.963957;0.963957;0.939202;0.939202;0.939202;0.956548;0.956548;0.956548;0.955335;0.955335;0.955335;0.957155;0.957155;0.957155;0.958368;0.958368;0.958368;0.983693;0.983693;0.983693;0.985557;0.985557;0.985557;0.987421;0.987421;0.987421;0.989285;0.989285;0.989285;1.016049;1.016049;1.016049;1.017959;1.017959;1.017959;1.019869;1.019869;1.019869;1.021779;1.021779;1.021779;1.048749;1.048749;1.048749;1.050705;1.050705;1.050705;1.052662;1.052662;1.052662;1.054618;1.054618;1.054618;1.08244;1.08244;1.08244;1.084444;1.084444;1.084444;1.086449;1.086449;1.086449;1.088453;1.088453;1.088453;1.117836;1.117836;1.117836;1.11989;1.11989;1.11989;1.121944;1.121944;1.121944;1.123997;1.123997;1.123997;1.153616;1.153616;1.153616;1.15572;1.15572;1.15572;1.157824;1.157824;1.157824;1.159928;1.159928;1.159928;1.190478;1.190478;1.190478;1.192633;1.192633;1.192633;1.194789;1.194789;1.194789;1.196944;1.196944;1.196944;1.228453;1.228453;1.228453;1.230661;1.230661;1.230661;1.232577;1.232577;1.232577;1.233242;1.233242;1.233242;1.259046;1.259046;1.259046;1.259726;1.259726;1.259726;1.260407;1.260407;1.260407;1.261088;1.261088;1.261088;1.287004;1.287004;1.287004;1.287699;1.287699;1.287699;1.288395;1.288395;1.288395;1.289091;1.289091;1.289091;1.315582;1.315582
4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.935349;0.935349;0.935349;0.898162;0.898162;0.898162;0.827821;0.827821;0.827821;0.811739;0.811739;0.811739;0.781277;0.781277;0.781277;0.737915;0.737915;0.737915;0.698638;0.698638;0.698638;0.688971;0.688971;0.688971;0.694415;0.694415;0.694415;0.699898;0.699898;0.699898;0.705423;0.705423;0.705423;0.710988;0.710988;0.710988;0.717045;0.717045;0.717045;0.722696;0.722696;0.722696;0.728389;0.728389;0.728389;0.734125;0.734125;0.734125;0.739903;0.739903;0.739903;0.745724;0.745724;0.745724;0.751588;0.751588;0.751588;0.757495;0.757495;0.757495;0.763447;0.763447;0.763447;0.769442;0.769442;0.769442;0.775482;0.775482;0.775482;0.781567;0.781567;0.781567;0.787697;0.787697;0.787697;0.794358;0.794358;0.794358;0.800582;0.800582;0.800582;0.806851;0.806851;0.806851;0.813168;0.813168;0.813168;0.81953;0.81953;0.81953;0.82594;0.82594;0.82594;0.832398;0.832398;0.832398;0.838903;0.838903;0.838903;0.845456;0.845456;0.845456;0.852057;0.852057;0.852057;0.858707;0.858707;0.858707;0.865407;0.865407;0.865407;0.872156;0.872156;0.872156;0.878423;0.878423;0.878423;0.879953;0.879953;0.879953;0.880429;0.880429;0.880429;0.880904;0.880904;0.880904;0.88138;0.88138;0.88138;0.881856;0.881856;0.881856;0.882332;0.882332;0.882332;0.882809;0.882809;0.882809;0.883286;0.883286;0.883286;0.883763;0.883763;0.883763;0.88424;0.88424;0.88424;0.884717
5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.014125;1.023877;1.05313;1.043379;1.033628;1.031677;1.031677;1.029727;1.029727;1.027777;1.027777;1.025827;1.050939;1.048941;1.048941;1.048941;1.048941;1.050939;1.050939;1.050939;1.050939;1.052937;1.052937;1.052937;1.080759;1.080759;1.080759;1.082806;1.082806;1.082806;1.084853;1.084853;1.084853;1.0869;1.0869;1.088947;1.115604;1.115604;1.117701;1.117701;1.117701;1.119798;1.119798;1.119798;1.121895;1.121895;1.121895;1.123992;1.151507;1.151507;1.153655;1.153655;1.153655;1.155804;1.155804;1.155804;1.157952;1.157952;1.157952;1.1601;1.188499;1.188499;1.1907;1.1907;1.1907;1.192901;1.192901;1.192901;1.195102;1.195102;1.195102;1.197303;1.226613;1.228867;1.228867;1.228867;1.231122;1.231122;1.231122;1.233377;1.233377;1.233377;1.235632;1.235632;1.26588;1.26819;1.26819;1.26819;1.2705;1.2705;1.2705;1.27281;1.27281;1.27281;1.27512;1.27512;1.306334;1.308701;1.308701;1.308701;1.311067;1.311067;1.311067;1.313434;1.313434;1.313434;1.315801;1.315801;1.348011;1.350436;1.350436;1.350436;1.35286;1.353104;1.353347;1.353591;1.353834;1.354078;1.354322;1.354566;1.383926;1.384175;1.384424;1.384673;1.384922;1.385172;1.385421;1.38567;1.38592;1.386169;1.386419;1.386668;1.414656;1.414911;1.415166;1.41542;1.415675;1.41593;1.416185;1.41644;1.416695;1.41695;1.417205;1.41746;1.446069;1.44633;1.44659;1.44685;1.447111
6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.023383;1.023383;1.023383;0.947609;0.947609;0.947609;0.931535;0.931535;0.931535;0.908779;0.929953;0.929953;0.919545;0.919545;0.919545;0.899157;0.899157;0.899157;0.880358;0.880358;0.880358;0.867894;0.888386;0.888386;0.890879;0.890879;0.890879;0.893609;0.893609;0.893609;0.89636;0.89636;0.89636;0.899132;0.919066;0.919066;0.921858;0.921858;0.921858;0.924896;0.924896;0.924896;0.927731;0.927731;0.927731;0.930587;0.95138;0.95138;0.954258;0.954258;0.954258;0.957156;0.957156;0.957156;0.960076;0.960076;0.960076;0.963018;0.98371;0.98371;0.986674;0.986674;0.986674;0.989659;0.989659;0.989659;0.992667;0.992667;0.992667;0.995697;1.016744;1.016744;1.019796;1.019796;1.019796;1.023113;1.023113;1.023113;1.026213;1.026213;1.026213;1.029335;1.050874;1.050874;1.054019;1.054019;1.054019;1.057188;1.057188;1.057188;1.06038;1.06038;1.06038;1.063595;1.085405;1.085405;1.088644;1.088644;1.088644;1.091907;1.091907;1.091907;1.095194;1.095194;1.095194;1.098506;1.121105;1.121105;1.124441;1.124441;1.124441;1.127801;1.127801;1.127801;1.131187;1.131187;1.131187;1.13274;1.155342;1.155342;1.15558;1.15558;1.15558;1.155817;1.155817;1.155817;1.156054;1.156054;1.156054;1.156292;1.181358;1.181358;1.181595;1.181595;1.181595;1.181833;1.181833;1.181833;1.182071;1.182071;1.182071;1.182309;1.208252;1.208252;1.20849;1.20849;1.20849;1.208729;1.208729
